location_id,source_primary_key,county_id,county_code,county_name,constituency_id,constituency_name,ward_id,ward_name,deleted,location_name_key
39,88b6e8c76e324f8a86b258018d02317b,kwale,KWL,Kwale,matuga,Matuga,tsimba_golini,Tsimba Golini,N,KWL_matuga_tsimba_golini
40,8c3e61a486b14fa6803db049e403239e,kwale,KWL,Kwale,matuga,Matuga,waa,Waa,N,KWL_matuga_waa
41,d791ed9952634e5bb4f15f20d30b3c59,kwale,KWL,Kwale,matuga,Matuga,tiwi,Tiwi,N,KWL_matuga_tiwi
42,540e6d50e97340b2becc719ba17cd925,kwale,KWL,Kwale,matuga,Matuga,kubo_south,Kubo South,N,KWL_matuga_kubo_south
43,1354862bcc434fee87e4761f3f8073e6,kwale,KWL,Kwale,matuga,Matuga,mkongani,Mkongani,N,KWL_matuga_mkongani
44,a1e8e6f6212442af8274df8b0cf754ce,kwale,KWL,Kwale,kinango,Kinango,nadavaya,Nadavaya,N,KWL_kinango_nadavaya
45,c3da97ec8bfd42e0976fa8d5e7313fdd,kwale,KWL,Kwale,kinango,Kinango,puma,Puma,N,KWL_kinango_puma
46,21132d1337524deaacffd6902905ccfe,kwale,KWL,Kwale,kinango,Kinango,kinango,Kinango,N,KWL_kinango_kinango
47,ca7d9cb29db5422f8d52460703665347,kwale,KWL,Kwale,kinango,Kinango,mackinnon-road,Mackinnon-Road,N,KWL_kinango_mackinnon-road
48,e77a4fa4455c4f6e9573912c12dc1c59,kwale,KWL,Kwale,kinango,Kinango,chengoni_samburu,Chengoni/Samburu,N,KWL_kinango_chengoni_samburu
49,4b85b57af2f5449cb2d1ea7263241535,kwale,KWL,Kwale,kinango,Kinango,mwavumbo,Mwavumbo,N,KWL_kinango_mwavumbo
50,48d64a7fbe02431dabae0c5d67cb7677,kwale,KWL,Kwale,kinango,Kinango,kasemeni,Kasemeni,N,KWL_kinango_kasemeni
51,fa0769c67a774f5da540333d5f155949,kilifi,KLF,Kilifi,kilifi_north,Kilifi North,tezo,Tezo,N,KLF_kilifi_north_tezo
52,c3bf4ea2e7ee4948a409e323b40659d0,kilifi,KLF,Kilifi,kilifi_north,Kilifi North,sokoni,Sokoni,N,KLF_kilifi_north_sokoni
53,3bb105740fe74d17a647539bd392cd83,kilifi,KLF,Kilifi,kilifi_north,Kilifi North,kibarani,Kibarani,N,KLF_kilifi_north_kibarani
54,c8c5059ad2f24e36b79cde6ddd0fcd31,kilifi,KLF,Kilifi,kilifi_north,Kilifi North,dabaso,Dabaso,N,KLF_kilifi_north_dabaso
55,76c9d5bec9a34dd6a879ef0bc1ca9de6,kilifi,KLF,Kilifi,kilifi_north,Kilifi North,matsangoni,Matsangoni,N,KLF_kilifi_north_matsangoni
56,fe0dd8dff80746e7a441ae4e65d16f2f,kilifi,KLF,Kilifi,kilifi_north,Kilifi North,watamu,Watamu,N,KLF_kilifi_north_watamu
57,f171b02b0724439899eee37c861abe90,kilifi,KLF,Kilifi,kilifi_north,Kilifi North,mnarani,Mnarani,N,KLF_kilifi_north_mnarani
58,e50e15822775441da5b60bfa7ff3d0c8,kilifi,KLF,Kilifi,kilifi_south,Kilifi South,junju,Junju,N,KLF_kilifi_south_junju
59,68f76fa81d334f478aafe798d6e2fd81,kilifi,KLF,Kilifi,kilifi_south,Kilifi South,mwarakaya,Mwarakaya,N,KLF_kilifi_south_mwarakaya
60,69c73f9592cf492ca86949e28ba0aae5,kilifi,KLF,Kilifi,kilifi_south,Kilifi South,shimo_la_tewa,Shimo La Tewa,N,KLF_kilifi_south_shimo_la_tewa
61,e5b8901fd64f40f88d0bb87ee390b065,kilifi,KLF,Kilifi,kilifi_south,Kilifi South,chasimba,Chasimba,N,KLF_kilifi_south_chasimba
62,e9376a0e39d341de8392410f13c869e2,kilifi,KLF,Kilifi,kilifi_south,Kilifi South,mtepeni,Mtepeni,N,KLF_kilifi_south_mtepeni
63,d7406a2729fd416ca54088cb166f759a,kilifi,KLF,Kilifi,kaloleni,Kaloleni,mariakani,Mariakani,N,KLF_kaloleni_mariakani
64,25242a5b2edc465a8c3b4bc446e54486,kilifi,KLF,Kilifi,kaloleni,Kaloleni,kayafungo,Kayafungo,N,KLF_kaloleni_kayafungo
65,5aa196185a33481fbe1ea8635a26c844,kilifi,KLF,Kilifi,kaloleni,Kaloleni,kaloleni,Kaloleni,N,KLF_kaloleni_kaloleni
